id;date;time;lat;long
1;09/16/2025;13:32;08°02'28.63'S;"35°11'46.69""W"
2;09/16/2025;13:44;08°02'26.36'S;"35°11'41.51""W"
3;09/16/2025;13:56;08°02'22.17'S;"35°11'43.52""W"
4;09/16/2025;14:08;08°02'28.81'S;"35°11'45.48""W"
5;09/16/2025;14:20;08°02'21.28'S;"35°11'44.22""W"
6;09/16/2025;14:32;08°02'22.17'S;"35°11'43.12""W"
7;09/16/2025;14:44;08°02'23.74'S;"35°11'40.16""W"
8;09/16/2025;14:56;08°02'21.94'S;"35°11'39.20""W"
9;09/16/2025;15:08;08°02'21.20'S;"35°11'38.02""W"
10;09/16/2025;15:20;08°02'24.16'S;"35°11'40.36""W"
11;09/16/2025;15:32;08°02'23.82'S;"35°11'33.83""W"
12;09/16/2025;15:44;08°02'24.30'S;"35°11'34.85""W"
13;09/16/2025;15:56;08°02'31.10'S;"35°11'45.92""W"
14;09/16/2025;16:08;08°02'25.52'S;"35°11'47.04""W"
15;09/16/2025;16:20;08°02'21.50'S;"35°11'52.32""W"
16;09/16/2025;;;
17;09/16/2025;;;
18;09/16/2025;;;
19;09/16/2025;;;
20;09/16/2025;;;
21;09/16/2025;;;
22;09/16/2025;;;
23;09/16/2025;;;
24;09/16/2025;;;
25;09/16/2025;;;
26;09/16/2025;;;
27;09/16/2025;;;
28;09/16/2025;;;
29;09/16/2025;;;
30;09/16/2025;;;
